+-----------------------------------------------------------------+---------+
| plugin                                                          | CountOf |
| [wp-mail-logging]                                               |       3 |
| [slideshow-jquery-image-gallery]                                |       3 |
| [media-library-assistant]                                       |       3 |
| [camptix-pagseguro]                                             |       3 |
| [camptix-trustpay]                                              |       3 |
| [inline-comments]                                               |       3 |
| [hotjar]                                                        |       3 |
| [header-footer]                                                 |       3 |
| [interactive-testimonial-showcase-visual-composer-addon]        |       3 |
| [language-fallback]                                             |       3 |
| [gcs]                                                           |       3 |
| [mega-addons-for-visual-composer]                               |       3 |
| [wordpress-2-step-verification]                                 |       3 |
| [show-modified-date-in-admin-lists]                             |       3 |
| [rate-my-post]                                                  |       3 |
| [seo-automated-link-building]                                   |       3 |
| [wp-fastest-cache]                                              |       3 |
| [robo-gallery]                                                  |       3 |
| [typeform]                                                      |       3 |
| [wti-like-post]                                                 |       3 |
| [yoast-seo-search-index-purge]                                  |       3 |
| [wps-limit-login]                                               |       3 |
| [wp-term-images]                                                |       3 |
| [wpcf7-recaptcha]                                               |       3 |
| [404page]                                                       |       2 |
| [accelerated-mobile-pages]                                      |       2 |
| [acf-columns]                                                   |       2 |
| [acf-archive]                                                   |       2 |
| [advanced-custom-fields-nav-menu-field]                         |       2 |
| [advanced-iframe]                                               |       2 |
| [all-404-redirect-to-homepage]                                  |       2 |
| [addthis]                                                       |       2 |
| [aws-auto-ses]                                                  |       2 |
| [advanced-tinymce-configuration]                                |       2 |
| [bbpress-integration]                                           |       2 |
| [author-avatars]                                                |       2 |
| [block-bad-queries]                                             |       2 |
| [broken-link-checker]                                           |       2 |
| [byline]                                                        |       2 |
| [code-prettify]                                                 |       2 |
| [black-studio-tinymce-widget]                                   |       2 |
| [custom-fonts]                                                  |       2 |
| [cf7-to-zapier]                                                 |       2 |
| [auto-logout]                                                   |       2 |
| [convert-post-types]                                            |       2 |
| [contextly-related-links]                                       |       2 |
| [better-admin-bar]                                              |       2 |
| [disable-real-mime-check]                                       |       2 |
| [disqus-conditional-load]                                       |       2 |
| [email-log]                                                     |       2 |
| [exit-notifier]                                                 |       2 |
| [embed-github-gist]                                             |       2 |
| [ele-custom-skin]                                               |       2 |
| [elementor-beta]                                                |       2 |
| [categories-images]                                             |       2 |
| [edit-author-slug]                                              |       2 |
| [cta]                                                           |       2 |
| [display-posts-shortcode]                                       |       2 |
| [google-language-translator]                                    |       2 |
| [hide-my-site]                                                  |       2 |
| [fr-address-book-for-woocommerce]                               |       2 |
| [copy-the-code]                                                 |       2 |
| [cryptocurrency-price-ticker-widget]                            |       2 |
| [header-and-footer-scripts]                                     |       2 |
| [expire-user-passwords]                                         |       2 |
| [export-all-urls]                                               |       2 |
| [file-renaming-on-upload]                                       |       2 |
| [admin-bar-disabler]                                            |       2 |
| [pixelyoursite]                                                 |       2 |
| [genesis-blocks]                                                |       2 |
| [comments-from-facebook]                                        |       2 |
| [manage-notification-emails]                                    |       2 |
| [meks-easy-social-share]                                        |       2 |
| [mtphr-widgets]                                                 |       2 |
| [mtphr-galleries]                                               |       2 |
| [mtphr-shortcodes]                                              |       2 |
| [multisite-robotstxt-manager]                                   |       2 |
| [nginx-cache]                                                   |       2 |
| [enhanced-text-widget]                                          |       2 |
| [gumlet]                                                        |       2 |
| [hummingbird-performance]                                       |       2 |
| [magic-fields-2]                                                |       2 |
| [mailgun]                                                       |       2 |
| [infogram]                                                      |       2 |
| [post-hit-counter]                                              |       2 |
| [simply-show-hooks]                                             |       2 |
| [printful-shipping-for-woocommerce]                             |       2 |
| [page-list]                                                     |       2 |
| [recent-posts-widget-extended]                                  |       2 |
| [rollbar]                                                       |       2 |
| [press-permit-core]                                             |       2 |
| [tracking-code-manager]                                         |       2 |
| [remove-dashboard-access-for-non-admins]                        |       2 |
| [kingcomposer]                                                  |       2 |
| [shortcodes-in-sidebar-widgets]                                 |       2 |
| [social-warfare]                                                |       2 |
| [so-css]                                                        |       2 |
| [so-widgets-bundle]                                             |       2 |
| [subscribe-to-page]                                             |       2 |
| [subscribe-to-category]                                         |       2 |
| [search-everything]                                             |       2 |
| [sticky-menu-or-anything-on-scroll]                             |       2 |
| [timber-library]                                                |       2 |
| [wpide]                                                         |       2 |
| [require-featured-image]                                        |       2 |
| [unfiltered-mu]                                                 |       2 |
| [anywhere-elementor]                                            |       2 |
| [medium]                                                        |       2 |
| [weather-effect]                                                |       2 |
| [ultimate-member]                                               |       2 |
| [maintenance-mode]                                              |       2 |
| [syntaxhighlighter]                                             |       2 |
| [shortcode-ui]                                                  |       2 |
| [woocommerce-services]                                          |       2 |
| [transposh-translation-filter-for-wordpress]                    |       2 |
| [widget-importer-exporter]                                      |       2 |
| [vanilla-forums]                                                |       2 |
| [wp-job-manager]                                                |       2 |
| [wp-sitemap-page]                                               |       2 |
| [wp-add-mime-types]                                             |       2 |
| [wp-review]                                                     |       2 |
| [manage-xml-rpc]                                                |       2 |
| [user-photo]                                                    |       2 |
| [wp-graphql]                                                    |       2 |
| [smooth-slider]                                                 |       2 |
| [dreamobjects]                                                  |       2 |
| [dreamhost-automated-migration]                                 |       2 |
| [wp-google-analytics-events]                                    |       2 |
| [camptix-trustcard]                                             |       2 |
| [error-log-monitor]                                             |       2 |
| [f4-error-pages]                                                |       2 |
| [genesis-enews-extended]                                        |       2 |
| [genesis-simple-share]                                          |       2 |
| [genesis-simple-sidebars]                                       |       2 |
| [custom-content-width]                                          |       2 |
| [google-publisher]                                              |       2 |
| [googleanalytics]                                               |       2 |
| [image-hover-effects-ultimate]                                  |       2 |
| [my-wp-login-logo]                                              |       2 |
| [google-tag-manager]                                            |       2 |
| [mailpoet]                                                      |       2 |
| [json-content-importer]                                         |       2 |
| [menu-image]                                                    |       2 |
| [livejournal-importer]                                          |       2 |
| [rest-api-toolbox]                                              |       2 |
| [png-to-jpg]                                                    |       2 |
| [popup-builder]                                                 |       2 |
| [simple-urls]                                                   |       2 |
| [jotform-oembed]                                                |       2 |
| [wp-jump-menu]                                                  |       2 |
| [shortcoder]                                                    |       2 |
| [table-of-contents-plus]                                        |       2 |
| [tag-dropdown-widget]                                           |       2 |
| [theme-editor]                                                  |       2 |
| [read-more-without-refresh]                                     |       2 |
| [ultimate-tables]                                               |       2 |
| [sassy-social-share]                                            |       2 |
| [shiftnav-responsive-mobile-menu]                               |       2 |
| [slide-anything]                                                |       2 |
| [showcase-visual-composer-addon]                                |       2 |
| [simple-author-box]                                             |       2 |
| [tweetthis]                                                     |       2 |
| [ultimate-carousel-for-elementor]                               |       2 |
| [utm-tracker]                                                   |       2 |
